25,0,2021-11-22 08:40:31.10639+00,2021-11-22 08:40:45.673165+00,Complete (KID 73214),2
20,0,2021-11-22 08:38:17.737457+00,2021-11-22 08:38:30.209883+00,Complete (KID 73214),2
20,0,2021-11-22 08:36:05.323272+00,2021-11-22 08:36:17.872826+00,Complete (KID 73214),2
15,0,2021-11-22 08:33:52.535332+00,2021-11-22 08:34:03.133012+00,Complete (KID 73214),2
15,0,2021-11-22 08:31:40.548211+00,2021-11-22 08:31:51.089964+00,Complete (KID 73214),2
10,0,2021-11-22 08:29:28.531885+00,2021-11-22 08:29:37.134331+00,Complete (KID 73214),2
10,0,2021-11-22 08:27:16.907333+00,2021-11-22 08:27:25.628712+00,Complete (KID 73214),2
5,0,2021-11-22 08:25:05.802849+00,2021-11-22 08:25:12.475148+00,Complete (KID 73214),2
5,0,2021-11-22 08:22:54.324647+00,2021-11-22 08:23:01.111666+00,Complete (KID 73214),2
2,0,2021-11-22 08:20:43.525507+00,2021-11-22 08:20:48.923676+00,Complete (KID 73214),2
2,0,2021-11-22 08:18:33.017277+00,2021-11-22 08:18:38.645097+00,Complete (KID 73214),2
